Company name,Stockholders Equity - Total  - 22,Difference in Total Equity,ROE,ROA,Total Assets - 21,Total Assets - 22,Difference in Total Assets,Operational Income 21,Sales - 21,Operational Income to Sales -21,Operational Income 22,Sales - 22,Difference in Sales,Operational Income to Sales - 22,Difference in Op. In /Sales (Operational Income/Sales growth),Earning per Share - 22,Sector,Organization Score,Organization Progress,Relationship score,Relationship progress,Engagement Intensity score,HQ Region,Scope 3 category,Indicator 1,Indicator 1 - progress,Indicator 2,Indicator 2 - progress,Indicator 3,Indicator 3 - progress,Indicator 4,Indicator 4 - progress,Indicator 5,Indicator 5 - progress,Indicator 6,Indicator 6 - progress,Indicator 7,Indicator 7 - progress,Indicator 8,Indicator 8 - progress,Indicator 10,Indicator 10 - progress
A.P. Moller (Maersk),65032,19444,0.448978964,0.311678053,72271,93680,21409,19460,61787,0.314952984,30762,81529,19742,0.377313594,0.06236061,1599.8904,Shipping,0.73,No change in score,0.57,No change in score,0.45,Europe,No,Y,No change in score,Y,No change in score,Y,Improvement in score,Partial,Improvement in score,Partial,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score
Adbri Limited,1303.1,34.1,0.078735323,0.040627227,2282.9,2525.4,242.5,130.2,1569.2,0.082972215,70.3,1700.3,131.1,0.041345645,-0.04162657,0.1572,Cement,0.59,No change in score,0.56,No change in score,0.08,Australasia,No,Y,Improvement in score,Y,Improvement in score,Partial,Improvement in score,Partial,No change in score,Y,Improvement in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score
AES Corp.,4504,-63,-0.121225577,-0.014232464,32963,38363,5400,2545,11141,0.228435508,2341,12617,1476,0.185543315,-0.042892194,-0.82,Electric Utilities,0.66,No change in score,0.81,No change in score,0.31,North America,No,Y,No change in score,Y,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,N,No change in score,Y,Improvement in score,Partial,No change in score,Y,No change in score
AGL Energy Ltd.,6517,1011,0.131962559,0.044628957,15450,19270,3820,-1091,10943,-0.099698437,1621,13221,2278,0.122607972,0.22230641,1.3163,Electric Utilities,0.66,No change in score,0.65,No change in score,0.31,Australasia,Yes (use of sold product from oil and gas distribution businesses - Category 11 of the GHG protocol),Partial,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Y,No change in score
Air France KLM S.A.,-2480,1336,-0.238306452,0.018294382,30683,32305,1622,-1650,14315,-0.115263709,1032,26393,12078,0.039101277,0.154364986,0.3492,Airlines,0.45,No change in score,0.47,No change in score,0.4,Europe,No,Y,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,Improvement in score,N,No change in score,Partial,No change in score,Y,No change in score,Partial,No change in score
Airbus Group,12982,3496,0.327145278,0.036629752,107047,115944,8897,4433,52149,0.085006424,5152,58763,6614,0.087674217,0.002667793,5.3959,Other transport,0.58,Improvement in score,0.52,No change in score,0.34,Europe,Yes (use of sold product - Category 11 of the GHG protocol),Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,Improvement in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
American Airlines Group Inc.,-5799,1541,-0.021900328,0.00196242,66467,64716,-1751,-5514,29882,-0.184525801,1805,48971,19089,0.036858549,0.22138435,0.2,Airlines,0.61,No change in score,0.41,No change in score,0.2,North America,No,Y,No change in score,Partial,No change in score,Partial,Improvement in score,Partial,No change in score,N,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
American Electric Power Company Inc.,24168.3,1444.8,0.095463893,0.024684014,87668.7,93469.4,5800.7,3372.3,16792,0.200827775,3692.7,19639.5,2847.5,0.188024135,-0.01280364,4.51,Electric Utilities,0.46,No change in score,0.47,Decline in score,0.43,North America,No,Y,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score
Anglo American plc,34024,-746,0.132671056,0.066966339,65985,67407,1422,17198,41554,0.413871107,10896,35118,-6436,0.310268239,-0.103602869,3.7152,Diversified Mining,0.44,No change in score,0.54,Improvement in score,0.17,Europe,Yes (processing of sold products (Category 10 of the GHG protocol) and use of sold products (Category 11 of the GHG protocol)),Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,Partial,No change in score,N,No change in score,Partial,No change in score,Partial,No change in score,Y,No change in score
Anhui Conch Cement Company Ltd.,195993.595,4167.523,0.079904397,0.064189604,230514.664,243976.422,13461.758,39697.048,148224.49,0.267817066,16921.748,103687.399,-44537.091,0.163199657,-0.104617408,2.9552,Cement,0.58,Not applicable,Not applicable,Not applicable,0.11,Asia,No,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score,N,No change in score
